worker_id,ring_name,birthday,birthplace,height_cm,weight_kg,promotion,rating,votes,profile_url
100,Lilian Garcia,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=100&gimmick=Lilian+Garcia
4843,Lince Dorado,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=4843&gimmick=Lince+Dorado
16664,Liv Morgan,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=16664&gimmick=Liv+Morgan
25777,Logan Paul,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=25777&gimmick=Logan+Paul
26684,Lola Vice,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=26684&gimmick=Lola+Vice
26895,Luca Crusifino,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=26895&gimmick=Luca+Crusifino
27227,Lucien Price,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=27227&gimmick=Lucien+Price
20960,Lyra Valkyria,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=20960&gimmick=Lyra+Valkyria
24513,Malik Blade,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=24513&gimmick=Malik+Blade
437,Mark Henry,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=437&gimmick=Mark+Henry
31833,Mark Nash,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31833&gimmick=Mark+Nash
2230,Maryse,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2230&gimmick=Maryse
31595,Masyn Holiday,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31595&gimmick=Masyn+Holiday
580,Matt Bloom,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=580&gimmick=Matt+Bloom
25319,Maxxine Dupri,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=25319&gimmick=Maxxine+Dupri
28512,Megan Morant,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=28512&gimmick=Megan+Morant
1125,Michael Cole,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1125&gimmick=Michael+Cole
720,Michael Hayes,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=720&gimmick=Michael+Hayes
9679,Michin,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=9679&gimmick=Michin
6,Mick Foley,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=6&gimmick=Mick+Foley
3232,Mikaze,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=3232&gimmick=Mikaze
18161,Mike Rome,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=18161&gimmick=Mike+Rome
502,Molly Holly,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=502&gimmick=Molly+Holly
17720,Montez Ford,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=17720&gimmick=Montez+Ford
389,Mosh,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=389&gimmick=Mosh
25517,Myles Borne,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=25517&gimmick=Myles+Borne
8819,Naomi,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=8819&gimmick=Naomi
2048,Natalya,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2048&gimmick=Natalya
22775,Nathan Frazer,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=22775&gimmick=Nathan+Frazer
14763,Nia Jax,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=14763&gimmick=Nia+Jax
5123,Nick Aldis,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=5123&gimmick=Nick+Aldis
5572,Nikki Bella,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=5572&gimmick=Nikki+Bella
